#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3C7412B6098CEF2-1DC787F1F19F00D7
#datatype	hitsConcise Results
#status	0
#Start time	2022-04-21T02:14:00	Run time	0:00:28:52
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >1	superfamily	413846	128	148	1.94119e-10	53.6444	cl03892	WRKY superfamily	C	 - 
Q#2 - >2	specific	214815	409	466	9.16384e-37	130.684	smart00774	WRKY	 - 	cl03892
Q#2 - >2	specific	397294	237	291	1.74356e-31	116.032	pfam03106	WRKY	 - 	cl03892
Q#3 - >3	specific	214815	174	231	6.65192e-38	130.299	smart00774	WRKY	 - 	cl03892
Q#4 - >4	specific	214815	126	190	6.71024e-32	113.35	smart00774	WRKY	 - 	cl03892
Q#5 - >5	specific	397294	148	203	1.91284e-32	115.261	pfam03106	WRKY	 - 	cl03892
Q#6 - >6	specific	214815	198	254	7.12038e-31	111.424	smart00774	WRKY	 - 	cl03892
Q#7 - >7	specific	214815	139	196	1.44739e-35	120.669	smart00774	WRKY	 - 	cl03892
Q#8 - >8	specific	397294	229	287	1.51993e-35	124.891	pfam03106	WRKY	 - 	cl03892
Q#9 - >9	specific	396785	8	146	1.44557e-25	98.6511	pfam02365	NAM	 - 	cl03558
Q#11 - >11	specific	214815	250	306	5.22244e-33	119.514	smart00774	WRKY	 - 	cl03892
Q#12 - >12	specific	214815	123	180	8.0822e-39	130.299	smart00774	WRKY	 - 	cl03892
Q#13 - >13	specific	214815	312	368	1.06025e-34	124.906	smart00774	WRKY	 - 	cl03892
Q#14 - >14	specific	214815	382	436	1.59751e-30	112.965	smart00774	WRKY	 - 	cl03892
Q#14 - >14	superfamily	227489	25	182	1.77973e-09	60.3077	cl27325	ULP1 superfamily	N	 - 
Q#15 - >15	specific	214815	433	490	2.52162e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#16 - >16	specific	397294	414	469	7.26228e-34	122.195	pfam03106	WRKY	 - 	cl03892
Q#16 - >16	specific	397294	246	300	2.04433e-29	109.869	pfam03106	WRKY	 - 	cl03892
Q#17 - >17	specific	214815	38	163	8.26758e-22	85.2308	smart00774	WRKY	 - 	cl03892
Q#18 - >18	specific	214815	152	212	5.93302e-34	118.743	smart00774	WRKY	 - 	cl03892
Q#19 - >19	specific	214815	134	191	1.28272e-38	130.684	smart00774	WRKY	 - 	cl03892
Q#20 - >20	specific	397294	239	295	9.46454e-34	117.573	pfam03106	WRKY	 - 	cl03892
Q#21 - >21	specific	397294	131	190	8.81529e-28	102.55	pfam03106	WRKY	 - 	cl03892
Q#22 - >22	specific	214815	136	196	2.37379e-22	87.1568	smart00774	WRKY	 - 	cl03892
Q#23 - >23	specific	214815	165	223	1.25443e-34	120.669	smart00774	WRKY	 - 	cl03892
Q#24 - >24	specific	214815	245	303	1.92403e-35	125.677	smart00774	WRKY	 - 	cl03892
Q#25 - >25	specific	214815	391	448	2.51994e-34	123.751	smart00774	WRKY	 - 	cl03892
Q#25 - >25	specific	214815	219	274	2.07447e-31	115.662	smart00774	WRKY	 - 	cl03892
Q#26 - >26	superfamily	187754	173	265	1.22922e-12	65.8116	cl39120	AMN1 superfamily	NC	 - 
Q#26 - >26	specific	403981	83	118	9.5053e-05	39.0045	pfam12937	F-box-like	C	cl02535
Q#27 - >27	specific	214815	33	97	1.5177e-25	93.32	smart00774	WRKY	 - 	cl03892
Q#28 - >28	specific	214815	51	112	7.67283e-32	111.81	smart00774	WRKY	 - 	cl03892
Q#29 - >29	specific	214815	144	214	2.86161e-29	106.417	smart00774	WRKY	 - 	cl03892
Q#30 - >30	specific	206652	1327	1575	3.67658e-124	387.829	cd01853	Toc34_like	 - 	cl38936
Q#31 - >31	specific	214815	33	83	3.30364e-27	94.8608	smart00774	WRKY	 - 	cl03892
Q#32 - >32	superfamily	413846	169	189	4.1403e-09	51.7184	cl03892	WRKY superfamily	C	 - 
Q#33 - >33	specific	214815	963	1021	1.14949e-30	114.891	smart00774	WRKY	 - 	cl03892
Q#33 - >33	specific	214815	864	924	4.41132e-28	107.572	smart00774	WRKY	 - 	cl03892
Q#33 - >33	superfamily	395745	41	282	2.78102e-24	102.843	cl26397	NB-ARC superfamily	 - 	 - 
Q#34 - >34	specific	214815	123	188	5.00281e-25	94.4756	smart00774	WRKY	 - 	cl03892
Q#35 - >35	specific	214815	198	256	6.39019e-34	119.899	smart00774	WRKY	 - 	cl03892
Q#36 - >36	specific	214815	200	257	3.01042e-35	124.136	smart00774	WRKY	 - 	cl03892
Q#37 - >37	specific	214815	250	308	1.44156e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#38 - >38	specific	405121	613	712	2.5146e-22	92.3118	pfam14372	DUF4413	 - 	cl16834
Q#38 - >38	specific	399013	757	839	9.80854e-21	86.9317	pfam05699	Dimer_Tnp_hAT	 - 	cl05324
Q#38 - >38	specific	397294	62	117	9.23589e-13	63.2595	pfam03106	WRKY	 - 	cl03892
Q#38 - >38	specific	214746	236	279	7.01574e-09	52.43	smart00614	ZnF_BED	 - 	cl02703
Q#39 - >39	specific	214815	53	111	2.27173e-22	83.69	smart00774	WRKY	 - 	cl03892
Q#40 - >40	specific	214815	163	220	2.24683e-33	114.891	smart00774	WRKY	 - 	cl03892
Q#41 - >41	specific	214815	357	413	4.31731e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#42 - >42	specific	214815	280	337	1.03946e-34	125.292	smart00774	WRKY	 - 	cl03892
Q#43 - >43	specific	214815	121	182	1.34902e-32	115.276	smart00774	WRKY	 - 	cl03892
Q#44 - >44	specific	397294	129	194	2.97053e-25	96.3866	pfam03106	WRKY	 - 	cl03892
Q#45 - >45	specific	214815	132	192	2.41949e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#46 - >46	specific	214815	102	173	8.9851e-25	94.4756	smart00774	WRKY	 - 	cl03892
Q#47 - >47	specific	214815	247	305	2.94051e-34	119.514	smart00774	WRKY	 - 	cl03892
Q#47 - >47	specific	402248	204	245	1.50187e-12	60.9751	pfam10533	Plant_zn_clust	 - 	cl11166
Q#48 - >48	specific	214815	1227	1286	2.75117e-26	102.565	smart00774	WRKY	 - 	cl03892
Q#48 - >48	superfamily	395745	407	640	1.35655e-16	80.8864	cl26397	NB-ARC superfamily	 - 	 - 
Q#48 - >48	superfamily	215633	205	426	1.02937e-09	63.355	cl33662	PLN03210 superfamily	NC	 - 
Q#48 - >48	superfamily	215061	783	1186	2.42868e-06	52.1576	cl33413	PLN00113 superfamily	C	 - 
Q#49 - >49	specific	397294	54	103	5.66806e-12	60.5631	pfam03106	WRKY	 - 	cl03892
Q#51 - >51	specific	214815	33	97	1.5177e-25	93.32	smart00774	WRKY	 - 	cl03892
Q#53 - >53	specific	397294	522	576	9.06525e-31	114.876	pfam03106	WRKY	 - 	cl03892
Q#53 - >53	specific	214815	752	827	4.77505e-27	104.491	smart00774	WRKY	 - 	cl03892
Q#54 - >54	superfamily	413846	230	249	2.75498e-08	49.022	cl03892	WRKY superfamily	C	 - 
Q#55 - >55	superfamily	419665	104	375	4.74774e-80	247.956	cl21453	PKc_like superfamily	 - 	 - 
Q#56 - >56	specific	214815	43	104	1.56835e-28	101.794	smart00774	WRKY	 - 	cl03892
Q#57 - >57	specific	214815	192	250	1.92193e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#58 - >58	specific	214815	125	185	9.68716e-36	124.136	smart00774	WRKY	 - 	cl03892
Q#59 - >59	specific	404074	136	402	9.91779e-101	301.925	pfam13088	BNR_2	 - 	cl21531
Q#60 - >60	specific	214815	130	189	2.44341e-36	124.906	smart00774	WRKY	 - 	cl03892
Q#61 - >61	specific	214815	151	209	5.38742e-33	115.662	smart00774	WRKY	 - 	cl03892
Q#62 - >62	specific	214815	127	186	5.54711e-36	124.136	smart00774	WRKY	 - 	cl03892
Q#63 - >63	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#63 - >63	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#64 - >64	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#64 - >64	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#65 - >65	specific	397294	223	279	4.91545e-34	118.343	pfam03106	WRKY	 - 	cl03892
Q#65 - >65	specific	402248	182	219	3.15905e-10	54.4267	pfam10533	Plant_zn_clust	 - 	cl11166
Q#66 - >66	specific	214815	335	392	1.01524e-36	128.758	smart00774	WRKY	 - 	cl03892
Q#66 - >66	specific	214815	179	234	2.88283e-32	116.817	smart00774	WRKY	 - 	cl03892
Q#67 - >67	specific	214815	351	408	7.34691e-35	124.136	smart00774	WRKY	 - 	cl03892
Q#67 - >67	specific	214815	189	246	1.58249e-32	117.973	smart00774	WRKY	 - 	cl03892
Q#68 - >68	specific	396785	9	143	4.86148e-28	106.355	pfam02365	NAM	 - 	cl03558
Q#69 - >69	specific	214815	122	183	7.82633e-29	106.417	smart00774	WRKY	 - 	cl03892
